narration_id,participant_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,start_frame,stop_frame,narration,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes
P01_11_0,P01,P01_11,00:00:00.560,00:00:00.00,00:00:01.89,1,113,takes plate,take,0,plate,2,['plate'],[2]
P01_11_1,P01,P01_11,00:00:01.700,00:00:01.56,00:00:02.45,93,147,puts down plate,put-down,1,plate,2,['plate'],[2]
P01_11_10,P01,P01_11,00:00:48.500,00:00:49.15,00:00:50.95,2949,3057,takes paper,take,0,paper,49,['paper'],[49]
P01_11_100,P01,P01_11,00:05:27.840,00:05:27.28,00:05:31.97,19636,19918,washes cloth,wash,2,cloth,17,['cloth'],[17]
P01_11_101,P01,P01_11,00:05:26.840,00:05:27.37,00:05:29.86,19642,19791,takes cloth,take,0,cloth,17,['cloth'],[17]
P01_11_102,P01,P01_11,00:05:32.500,00:05:30.62,00:05:35.02,19837,20101,squeezes cloth,squeeze,18,cloth,17,['cloth'],[17]
P01_11_103,P01,P01_11,00:05:37.000,00:05:35.56,00:05:41.14,20133,20468,wipes counter,wipe,2,counter,42,['counter'],[42]
P01_11_104,P01,P01_11,00:05:41.590,00:05:41.24,00:05:48.23,20474,20893,wipes sink,wipe,2,sink,63,['sink'],[63]
P01_11_105,P01,P01_11,00:05:50.099,00:05:48.67,00:05:56.10,20920,21366,continues wiping sink,wipe,2,sink,63,['sink'],[63]
P01_11_106,P01,P01_11,00:05:57.240,00:05:56.18,00:05:57.82,21370,21469,squeezes cloth,squeeze,18,cloth,17,['cloth'],[17]
P01_11_107,P01,P01_11,00:05:59.830,00:05:57.26,00:05:59.66,21435,21579,takes onion,take,0,onion,16,['onion'],[16]
P01_11_108,P01,P01_11,00:06:01.419,00:06:00.50,00:06:01.77,21630,21706,turns on tap,turn-on,6,tap,0,['tap'],[0]
P01_11_109,P01,P01_11,00:06:02.449,00:06:02.01,00:06:08.60,21720,22116,washes sink,wash,2,sink,63,['sink'],[63]
P01_11_11,P01,P01_11,00:00:51.620,00:00:51.60,00:00:52.49,3096,3149,opens bin,open,3,bin,36,['bin'],[36]
P01_11_110,P01,P01_11,00:06:08.199,00:06:07.74,00:06:08.90,22064,22134,turns off tap,turn-off,8,tap,0,['tap'],[0]
P01_11_111,P01,P01_11,00:06:10.050,00:06:09.65,00:06:11.72,22179,22303,squeezes cloth,squeeze,18,cloth,17,['cloth'],[17]
P01_11_112,P01,P01_11,00:06:14.840,00:06:13.15,00:06:20.94,22389,22856,wipes cooker,wipe,2,cooker,46,['cooker'],[46]
P01_11_113,P01,P01_11,00:06:22.919,00:06:21.79,00:06:22.79,22907,22967,puts down cloth,put-down,1,cloth,17,['cloth'],[17]
P01_11_114,P01,P01_11,00:06:25.300,00:06:24.89,00:06:25.64,23093,23138,opens bin,open,3,bin,36,['bin'],[36]
P01_11_115,P01,P01_11,00:06:26.300,00:06:25.24,00:06:25.80,23114,23148,throws onion in,throw-in,13,onion,16,['onion'],[16]
P01_11_116,P01,P01_11,00:06:27.300,00:06:25.69,00:06:26.36,23141,23181,closes bin,close,4,bin,36,['bin'],[36]
P01_11_117,P01,P01_11,00:06:29.169,00:06:28.20,00:06:29.28,23292,23356,takes cloth,take,0,cloth,17,['cloth'],[17]
P01_11_118,P01,P01_11,00:06:30.169,00:06:28.52,00:06:32.17,23311,23530,dries hands,dry,14,hand,11,['hand'],[11]
