narration_id,narration
P01_11_0,take plate
P01_11_1,put down plate
P01_11_10,take paper
P01_11_100,wash cloth
P01_11_101,take cloth
P01_11_102,squeeze cloth
P01_11_103,wipe counter
P01_11_104,wipe sink
P01_11_105,continue wiping sink
P01_11_107,take onion
P01_11_108,turn on tap
P01_11_109,wash sink
P01_11_11,open bin
P01_11_110,turn off tap
P01_11_112,wipe cooker
P01_11_113,put down cloth
P01_11_115,throw onion in
P01_11_116,close bin
P01_11_118,dry hands
P01_11_119,hand cloth
P01_11_12,throw paper into bin
P01_11_120,take hand
P01_11_121,throw can into bin
P01_11_122,take bin
P01_11_123,put bin onto other bin
P01_11_124,take bins
P01_11_125,put down bins
P01_11_127,close bag
P01_11_128,tie bag
P01_11_132,remove bag of the bin
P01_11_133,take bin out
P01_11_135,put bag into bin
P01_11_136,take garbage bag
P01_11_137,open bag
P01_11_14,take tray
P01_11_140,take lid
P01_11_141,close container
P01_11_142,take container and plate
P01_11_143,open fridge
P01_11_144,move things in the fridge
P01_11_145,put container into fridge
P01_11_146,put plate into fridge
P01_11_147,close fridge
P01_11_15,take spatula
P01_11_16,put down tray
P01_11_17,take trays
P01_11_18,put down trays
P01_11_19,put down spatula and pizza cutter
P01_11_2,take pizza
P01_11_23,take tablecloth
P01_11_24,fold tablecloth
P01_11_25,put tablecloth into cupboard
P01_11_26,take container
P01_11_27,open container
P01_11_28,take pizza slice
P01_11_29,put pizza slice into container
P01_11_3,put pizza onto plate
P01_11_31,take knife
P01_11_32,put down knife
P01_11_33,cut pizza
P01_11_37,put down lid
P01_11_40,wash hand
P01_11_42,take sponge
P01_11_43,squeeze sponge
P01_11_44,take washing up liquid
P01_11_45,put down washing up liquid
P01_11_46,wash knife
P01_11_47,take fork
P01_11_48,wash fork
P01_11_49,put down fork
P01_11_5,put pizza slice onto plate
P01_11_50,take pizza cutter
P01_11_52,rinse pizza cutter
P01_11_53,wash pizza cutter
P01_11_54,put down pizza cutter
P01_11_56,wash plate
P01_11_59,wash spatula
P01_11_60,put down spatula
P01_11_62,wash tray
P01_11_67,put down sponge
P01_11_68,take glass
P01_11_69,wash glass
P01_11_71,rinse glass
P01_11_72,put glass into rack
P01_11_74,rinse spatula
P01_11_75,put spatula into rack.
P01_11_77,rinse knife.
P01_11_78,wash knife.
P01_11_81,put knife into rack.
P01_11_82,take fork.
P01_11_83,wash fork.
P01_11_84,rinse fork.
P01_11_85,take pizza cutter.
P01_11_86,rinse pizza cutter.
P01_11_87,put pizza cutter into rack.
P01_11_88,take tray.
P01_11_89,rinse tray.
P01_11_9,fold paper
P01_11_90,put tray into rack.
P01_11_93,put tray into rack
P01_11_95,rinse plate
P01_11_98,put plate into track
P01_11_99,wash sponge
P01_12_0,take cutlery
P01_12_1,open drawer
P01_12_10,close drawer
P01_12_11,take cutting board
P01_12_12,open cupboard
P01_12_13,put cutting board into cupboard
P01_12_15,put trays into cupboard
P01_12_16,take pan
P01_12_17,put pan into cupboard
P01_12_18,take bowls
P01_12_20,put bowls into cupboard
P01_12_22,take out
P01_12_23,close cupboard
P01_12_25,pull down cup
P01_12_26,take plates
P01_12_28,put plates into cupboard
P01_12_29,take measuring cups and glass
P01_12_31,put cup into cupboard
P01_12_32,put measuring cup into cupboard
P01_12_34,take rolling bin
P01_12_37,put rolling pin into drawer
P01_12_4,put down spoon
P01_12_40,unfold tablecloth
P01_12_41,pull down tablecloth
P01_12_42,put cup onto tablecloth
P01_12_43,take spoon
P01_12_46,take soy milk
P01_12_49,put down container
P01_12_50,shake soy milk
P01_12_51,open milk
P01_12_52,pour milk
P01_12_53,close milk
P01_12_54,put down soya milk
P01_12_56,take cereals
P01_12_57,put down cereals
P01_12_58,open cereal box
P01_12_59,unfold cereal bag
P01_12_60,pour cereals
P01_12_7,put down tong
P01_13_0,take cereal bag
P01_13_1,fold cereal bag
P01_13_10,hang table cloth
P01_13_12,pour washing op liquid
P01_13_15,wash cup and spoon
P01_13_16,rinse spoon
P01_13_18,rinse cup
P01_13_2,put cereal bag into cereal box
P01_13_20,put down cup
P01_13_25,put down glass
P01_13_26,take bottle
P01_13_27,pour water into glass
P01_13_28,drink water
P01_13_3,close cereal box
P01_13_5,put cereal box into cupboard
P01_13_7,take cup and spoon
P01_13_8,put down cup and spoon
P01_13_9,take table cloth
P01_14_1,put down bin
P01_14_100,take kettle
P01_14_101,open kettle
P01_14_103,pour water into kettle
P01_14_105,close kettle
P01_14_106,put down kettle
P01_14_107,turn on kettle
P01_14_109,take colander
P01_14_11,move bin
P01_14_110,put down colander
P01_14_111,put lid into cupboard
P01_14_113,put down pan
P01_14_114,pour aubergine into pan
P01_14_115,put down cutting board
P01_14_12,lift bin
P01_14_120,stir aubergine
P01_14_121,put down aubergine
P01_14_122,take salt
P01_14_123,pour salt
P01_14_124,open salt
P01_14_125,close salt
P01_14_126,put down salt
P01_14_132,put down onion
P01_14_133,cut onion
P01_14_135,put onion into container
P01_14_14,move bins
P01_14_141,slice onion
P01_14_142,continue slicing onion
P01_14_143,chop onion
P01_14_144,continue chopping onion
P01_14_146,take onion bits
P01_14_148,stir
P01_14_155,open bottle
P01_14_157,take corkscrew
P01_14_159,take cork
P01_14_161,put down bottle opener
P01_14_164,put down bottle
P01_14_169,adjust hob
P01_14_17,crush soy milk
P01_14_173,pour water into saucepan
P01_14_178,pour onion into pan
P01_14_18,put soy milk into bin
P01_14_181,stir food
P01_14_182,continue stirring food
P01_14_19,take can and paper
P01_14_190,stir salt
P01_14_198,move bottle
P01_14_199,move glass
P01_14_2,take bag
P01_14_20,crush can
P01_14_200,put down table cloth
P01_14_201,move plates
P01_14_202,move container
P01_14_208,put down plates
P01_14_21,put can into bin
P01_14_213,put down cutlery
P01_14_214,move chair
P01_14_22,tear paper
P01_14_221,take tomato sauce
P01_14_222,open sauce
P01_14_223,pour sauce
P01_14_224,continue pouring sauce
P01_14_225,put down sauce
P01_14_229,take pasta
P01_14_23,put paper into bin
P01_14_231,take scissor
P01_14_232,cut pasta bag
P01_14_233,put scissor into drawer
P01_14_235,take pasta out of the bag
P01_14_236,pour pasta
P01_14_238,throw plastic bag into bin
P01_14_241,stir pasta
P01_14_249,move things
P01_14_253,rinse bottle
P01_14_254,rinse sauce
P01_14_257,put lid and bottle into bins
P01_14_259,take containers
P01_14_270,take glasses
P01_14_271,put down glasses
P01_14_272,take wine bottle
P01_14_273,pour wine into glass
P01_14_276,move glasses
P01_14_283,taste pasta
P01_14_287,check time
P01_14_29,put spoon into drawer
P01_14_290,turn off hob
P01_14_291,lift saucepan
P01_14_292,put down saucepan
P01_14_293,put colander into sink
P01_14_295,take saucepan
P01_14_296,drain pasta
P01_14_297,continue draining pasta
P01_14_299,pour pasta into pan
P01_14_3,unroll bag
P01_14_301,take mozzarella
P01_14_302,open mozzarella bag
P01_14_303,sprinkle mozzarella
P01_14_307,continue stirring pasta
P01_14_321,pour pasta onto plate
P01_14_324,move plate
P01_14_327,pour pasta onto place
P01_14_329,put down spatulas
P01_14_330,take pan and spatulas
P01_14_331,put down pan and spatulas
P01_14_334,throw pasta into bin
P01_14_337,wash hands
P01_14_339,close tap
P01_14_34,take mushrooms
P01_14_341,hang cloth
P01_14_342,close mozzarella bag
P01_14_343,fold mozzarella bag
P01_14_345,take clip
P01_14_346,put clip on bag
P01_14_349,put mozzarella into fridge
P01_14_35,put down mushrooms
P01_14_37,looking for something
P01_14_41,put down mushrooms and container
P01_14_42,take bowl
P01_14_43,put down bowl
P01_14_47,put down pasta
P01_14_48,pull down container
P01_14_49,take mushroom
P01_14_5,continue opening bag
P01_14_50,put down mushroom
P01_14_53,take aubergine and celery
P01_14_54,put down celery
P01_14_56,move mushrooms
P01_14_61,put down mozzarella
P01_14_68,put down tomato sauce mozzarella and container
P01_14_7,take banana skin
P01_14_77,take aubergine
P01_14_8,put banana skin into bag
P01_14_80,move cutting board
P01_14_81,take olive oil
P01_14_82,open oil
P01_14_83,pour oil into pan
P01_14_84,close oil
P01_14_85,put down oil
P01_14_86,turn on hob
P01_14_9,put bag in to bin
