narration_id,narration
P01_11_0,takes plate
P01_11_1,puts down plate
P01_11_10,takes paper
P01_11_100,washes cloth
P01_11_101,takes cloth
P01_11_102,squeezes cloth
P01_11_103,wipes counter
P01_11_104,wipes sink
P01_11_105,continues wiping sink
P01_11_107,takes onion
P01_11_108,turns on tap
P01_11_109,washes sink
P01_11_11,opens bin
P01_11_110,turns off tap
P01_11_112,wipes cooker
P01_11_113,puts down cloth
P01_11_115,throws onion in
P01_11_116,closes bin
P01_11_118,dries hands
P01_11_119,hands cloth
P01_11_12,throws paper into bin
P01_11_120,takes hand
P01_11_121,throws can into bin
P01_11_122,takes bin
P01_11_123,puts bin onto other bin
P01_11_124,takes bins
P01_11_125,puts down bins
P01_11_127,closes bag
P01_11_128,ties bag
P01_11_132,removes bag of the bin
P01_11_133,takes bin out
P01_11_135,puts bag into bin
P01_11_136,takes garbage bag
P01_11_137,opens bag
P01_11_14,takes tray
P01_11_140,takes lid
P01_11_141,closes container
P01_11_142,takes container and plate
P01_11_143,opens fridge
P01_11_144,moves things in the fridge
P01_11_145,puts container into fridge
P01_11_146,puts plate into fridge
P01_11_147,closes fridge
P01_11_15,takes spatula
P01_11_16,puts down tray
P01_11_17,takes trays
P01_11_18,puts down trays
P01_11_19,puts down spatula and pizza cutter
P01_11_2,takes pizza
P01_11_23,takes tablecloth
P01_11_24,folds tablecloth
P01_11_25,puts tablecloth into cupboard
P01_11_26,takes container
P01_11_27,opens container
P01_11_28,takes pizza slice
P01_11_29,puts pizza slice into container
P01_11_3,puts pizza onto plate
P01_11_31,takes knife
P01_11_32,puts down knife
P01_11_33,cuts pizza
P01_11_37,puts down lid
P01_11_40,washes hand
P01_11_42,takes sponge
P01_11_43,squeezes sponge
P01_11_44,takes washing up liquid
P01_11_45,puts down washing up liquid
P01_11_46,washes knife
P01_11_47,takes fork
P01_11_48,washes fork
P01_11_49,puts down fork
P01_11_5,puts pizza slice onto plate
P01_11_50,takes pizza cutter
P01_11_52,rinses pizza cutter
P01_11_53,washes pizza cutter
P01_11_54,puts down pizza cutter
P01_11_56,washes plate
P01_11_59,washes spatula
P01_11_60,puts down spatula
P01_11_62,washes tray
P01_11_67,puts down sponge
P01_11_68,takes glass
P01_11_69,washes glass
P01_11_71,rinses glass
P01_11_72,puts glass into rack
P01_11_74,rinses spatula
P01_11_75,puts spatula into rack.
P01_11_77,rinses knife.
P01_11_78,washes knife.
P01_11_81,puts knife into rack.
P01_11_82,takes fork.
P01_11_83,washes fork.
P01_11_84,rinses fork.
P01_11_85,takes pizza cutter.
P01_11_86,rinses pizza cutter.
P01_11_87,puts pizza cutter into rack.
P01_11_88,takes tray.
P01_11_89,rinses tray.
P01_11_9,folds paper
P01_11_90,puts tray into rack.
P01_11_93,puts tray into rack
P01_11_95,rinses plate
P01_11_98,puts plate into track
P01_11_99,washes sponge
P01_12_0,takes cutlery
P01_12_1,opens drawer
P01_12_10,closes drawer
P01_12_11,takes cutting board
P01_12_12,opens cupboard
P01_12_13,puts cutting board into cupboard
P01_12_15,puts trays into cupboard
P01_12_16,takes pan
P01_12_17,puts pan into cupboard
P01_12_18,takes bowls
P01_12_20,puts bowls into cupboard
P01_12_22,takes out
P01_12_23,closes cupboard
P01_12_25,pulls down cup
P01_12_26,takes plates
P01_12_28,puts plates into cupboard
P01_12_29,takes measuring cups and glass
P01_12_31,puts cup into cupboard
P01_12_32,puts measuring cup into cupboard
P01_12_34,takes rolling bin
P01_12_37,puts rolling pin into drawer
P01_12_4,puts down spoon
P01_12_40,unfolds tablecloth
P01_12_41,pulls down tablecloth
P01_12_42,puts cup onto tablecloth
P01_12_43,takes spoon
P01_12_46,takes soy milk
P01_12_49,puts down container
P01_12_50,shakes soy milk
P01_12_51,opens milk
P01_12_52,pours milk
P01_12_53,closes milk
P01_12_54,puts down soya milk
P01_12_56,takes cereals
P01_12_57,puts down cereals
P01_12_58,opens cereal box
P01_12_59,unfolds cereal bag
P01_12_60,pours cereals
P01_12_7,puts down tong
P01_13_0,takes cereal bag
P01_13_1,folds cereal bag
P01_13_10,hangs table cloth
P01_13_12,pours washing op liquid
P01_13_15,washes cup and spoon
P01_13_16,rinses spoon
P01_13_18,rinses cup
P01_13_2,puts cereal bag into cereal box
P01_13_20,puts down cup
P01_13_25,puts down glass
P01_13_26,takes bottle
P01_13_27,pours water into glass
P01_13_28,drinks water
P01_13_3,closes cereal box
P01_13_5,puts cereal box into cupboard
P01_13_7,takes cup and spoon
P01_13_8,puts down cup and spoon
P01_13_9,takes table cloth
P01_14_1,puts down bin
P01_14_100,takes kettle
P01_14_101,opens kettle
P01_14_103,pours water into kettle
P01_14_105,closes kettle
P01_14_106,puts down kettle
P01_14_107,turns on kettle
P01_14_109,takes colander
P01_14_11,moves bin
P01_14_110,puts down colander
P01_14_111,puts lid into cupboard
P01_14_113,puts down pan
P01_14_114,pours aubergine into pan
P01_14_115,puts down cutting board
